UNJswfXKJ3s_30,playing steelpan
UvgwelALqcs_181,cuckoo bird calling
rjGjz5DolWA_30,dog barking
5bSfEeWEtUg_28,beat boxing
myD-He_i2Ao_199,elk bugling
zZYEL5ih3n4_134,dinosaurs bellowing
XXBVsNt2Qr8_30,male singing
AahgXCrU1ZQ_470,chainsawing trees
P5H8C-I7Qxc_30,playing zither
moZ49NEGqfk_310,lawn mowing
6Z8wLKsHcbw_75,people gargling
lNpyUGhdNI0_0,rope skipping
IwRCkBwF9NA_380,orchestra
4SLZ6a-_AxA_936,lathe spinning
Qd5qSAXSLN4_10,ambulance siren
baayJxbQepY_188,playing timbales
ov4fdnGwzWU_520,playing trumpet
XYN90AECIBA_71,air horn
63rqIYPHvlc_30,people finger snapping
Zi54i2jukS0_294,airplane
wjdSUi9ANmo_165,plastic bottle crushing
KiA1NLu5MCo_1,snake hissing
2I0ns0crmrA_6,cat caterwauling
96HJ2f5dj6U_30,raining
lsH-2aCFzP0_71,train horning
-VLOm8cJZRI_70,eating with cutlery
y0d6Crj5U8g_69,driving snowmobile
0vg9qxNKXOw_30,skateboarding
nb_7c2xPKYA_400,playing mandolin
gaZ7NCQwmlE_0,playing piano
-zfmvtpsQq8_0,cheetah chirrup
pIhCGGAsoaA_97,mouse clicking
_3ExGHT5R1A_21,bathroom ventilation fan running
4Tpy1lsfcSM_30,reversing beeps
2cEM6Hu90v0_38,playing erhu
HtnBcjEudhY_300,goose honking
FsywuRmOMTM_30,playing acoustic guitar
Z9vYvEu9vC4_370,cricket chirping
fjJPvFZswhg_30,singing bowl
OcdrbkDm2LQ_30,playing steelpan
U3_X26NjUXk_82,wood thrush calling
bqmWNU5oLZM_7,crow cawing
-r-k-BvQbRM_38,black capped chickadee calling
9JwAddAl120_310,people finger snapping
pNe78oBtedY_47,cell phone buzzing
ETbXNJxQrQU_30,train horning
mKVAgtsoQjA_180,using sewing machines
HmqjTIXdF5Y_4,penguins braying
t6jlx6jAb-Q_70,playing mandolin
jPGn0rqkLPY_80,playing gong
tK_LmidEivQ_212,police radio chatter
3LvZUtupOCs_30,dog howling
s-5NrplJjlg_383,"race car, auto racing"
ubuhm_JjGBo_20,people belly laughing
tLp3oiK2GO0_29,pig oinking
9NYsJxa4wjA_40,frog croaking
FF2bhR7s3VY_30,waterfall burbling
XFpVYFTQRuQ_188,"alligators, crocodiles hissing"
4DjXq2Tqr2k_144,playing tympani
ba43-gH05H4_40,"motorboat, speedboat acceleration"
XCruoE-LnKE_4,golf driving
ryskM4LGrtk_530,playing tambourine
SSFFe1cVwgU_80,"vehicle horn, car horn, honking"
TnzGGN9Q__s_10,playing zither
5xklhqtPZho_20,police car (siren)
ItIo1RvO0PE_20,church bell ringing
6hQ0OxTGMP0_20,smoke detector beeping
bOtUES6eNxs_10,machine gun shooting
3IZDfFDbGnU_386,roller coaster running
7P7sCHtDLU8_30,"subway, metro, underground"
qlDYIPHzfRM_50,people belly laughing
ErOQx6MhANI_30,"bird chirping, tweeting"
FMLhPfYb-oY_30,lions roaring
AmAThmRphk0_30,playing banjo
YN5CTUvVDGw_200,playing gong
5DW8WjxxCag_30,reversing beeps
qj6xuSzUgUg_382,bowling impact
aDTCjyFFbkA_142,playing volleyball
MB23r3XMRNU_23,dog baying
zTq_Z1aPFvk_0,skiing
Bf2m1sXaXk4_10,"railroad car, train wagon"
09kqMqn5rWs_260,"child speech, kid speaking"
eQcSHZyNAuY_40,dog bow-wow
N7tVUQOobkY_289,people eating noodle
P18VbGGgLcw_0,opening or closing car electric windows
H3XoJGQoMJI_40,turkey gobbling
qQhNzixQvM4_220,mouse pattering
-PvlrLjIAYo_9,parrot talking
Ce2fbtvF_TI_39,playing glockenspiel
6om-fZvxe70_30,mouse squeaking
teat8XuzuU4_0,cricket chirping
1GI75yXlrTk_29,people slapping
X8E2Vx0ygi8_230,beat boxing
V54-dh4RQdQ_0,singing bowl
9Y8NR6nDxjk_460,playing timpani
keVZ4cpnWXU_490,"bee, wasp, etc. buzzing"
WGYzVpMeSEg_210,vacuum cleaner cleaning floors
1D4LxbOVn1I_30,dog bow-wow
VeXcCHo5iMI_30,playing didgeridoo
0iX0QmnbrK4_85,playing trombone
Ta9R_TuzIUM_341,driving snowmobile
S6R2DpF6zzM_60,baltimore oriole calling
eUZdeewHwhw_30,chicken crowing
7qfxCvwyxms_10,playing piano
SkyxbPeBxNA_0,"playing marimba, xylophone"
1J_j6c2uQaM_30,thunder
vY2m4W8pUFA_15,people eating crisps
erYO0AUJDUQ_120,vacuum cleaner cleaning floors
jUjEZr4O6fU_30,chainsawing trees
pSVtqy6NzH0_30,"pigeon, dove cooing"
O2y4wIUAlpg_111,sharpen knife
8tdsgBg2m3k_11,sloshing water
2qGjgfpQtFI_0,playing drum kit
w2vMywh5Nto_10,playing mandolin
A2D_eaALRug_19,hammering nails
SkQb0gnQg6s_218,magpie calling
3KNldqq7o6w_9,cell phone buzzing
z7rxl5KsPjs_90,"playing violin, fiddle"
9HfaCcER3aM_130,parrot talking
7ivVufYPEnA_268,playing djembe
f3iOuKzhUlQ_30,printer printing
2qSknsEkmZI_30,playing didgeridoo
9JISgXvxb4Y_86,gibbon howling
P1QoN7IyNiI_30,pumping water
yuQhlkeLh5U_51,playing timbales
qA1XfVDXoMc_295,popping popcorn
Y_H9pAXuz6M_70,playing cymbal
jpHrNr6bDmU_230,playing electronic organ
dySzuSBqPnE_40,ripping paper
_A30xsFBMXA_40,fire truck siren
BN4k3mnJteo_0,playing flute
mcYd-WlyCIw_6,telephone bell ringing
QyVrKAoUmW4_287,playing hockey
rT9tzUNdzjM_33,rope skipping
-IKnJa9U66I_150,using sewing machines
zyMH_BNFQfA_32,cheetah chirrup
jJBgSsVyQns_10,playing bagpipes
DaiRHQA9CW0_30,lawn mowing
20Nlj7Cz4E0_30,male singing
y8Gfi9gGPRc_248,people giggling
yUX0H5Kc91c_74,electric grinder grinding
Zjld_hYWTJ8_30,singing choir
ggb93ZYIeaA_82,mynah bird singing
a0om8KHQhFQ_30,playing clarinet
EgpsSwHlXqA_0,splashing water
zUxqWMvjKBw_99,driving snowmobile
W_1zSnubvSM_100,playing electronic organ
4PYTtp78Ig0_60,people screaming
NwGcF_Ud-ig_0,driving motorcycle
M7GSBDc6s_w_340,playing sitar
a_xgmS6wZKo_0,police car (siren)
oD0Xp--xxjE_30,playing drum kit
QHPJK945JVg_10,reversing beeps
NKfyi7q0JNU_30,dog barking
thCn14bf1r8_380,machine gun shooting
WGOZNdTXITQ_205,playing squash
E67DLGqXPMo_200,eletric blender running
1n_s2Gb5R1Q_30,reversing beeps
Aclv9drugo0_50,people burping
Taw3uTEkfSo_530,pumping water
SR1a5VJqF8w_80,playing cello
7uErtxgLWg4_20,people whistling
i99_Kgi0WIU_30,people whispering
zL1shfumYZI_0,snake hissing
dulZ4FPi7gg_170,toilet flushing
JdBTLOZo3dA_180,"playing violin, fiddle"
rwka0Ui94-w_235,cow lowing
9IuFwl2AtcI_30,baby crying
LmlCcoUOaOs_30,lighting firecrackers
dLZEZTNhFwM_32,bull bellowing
MCmoP0OTqY8_210,playing vibraphone
kKrcq_JPMFM_162,lip smacking
3vp3XshIuSI_17,playing bassoon
g8E6gteawKY_30,people shuffling
_dMKUFMq2n8_202,rope skipping
uJNudEm4RMQ_82,wind chime
wmStqt_0Ja4_192,chimpanzee pant-hooting
9VLCK2iTxhY_240,pumping water
KcC_g1wPovM_80,waterfall burbling
XUOOhMM9aZM_420,playing gong
gVn7YEKnq0I_13,"vehicle horn, car horn, honking"
WCC01d0hcBQ_24,dinosaurs bellowing
l13XyX-sMwk_1613,lip smacking
fNgXgJZHxDE_140,pumping water
2QuZzkvq_YQ_0,"child speech, kid speaking"
FONKpzlXUoc_172,roller coaster running
Mr_ckcZH4c0_23,air conditioning noise
NPYcq7sx6-w_160,playing bagpipes
PWwD7zzMOWE_540,"playing marimba, xylophone"
1PPboJuO1Ks_21,horse neighing
bJB2A8QPl8w_70,playing saxophone
deX7R9RbmX0_120,ocean burbling
OnRh-5IRG3A_0,machine gun shooting
y4nbvosvSgw_264,planing timber
2pHfgh_G1yo_10,ambulance siren
A0dHhG6Y8C0_30,"electric shaver, electric razor shaving"
N4JQ0uzRjpA_274,playing erhu
620GoTv5Ic8_30,"engine accelerating, revving, vroom"
39rXWSXGOyo_80,cat purring
8ooVSXeHb94_30,church bell ringing
OV8eysG8KEk_1,cat meowing
Y3Iu9Xq-TaU_453,people slurping
PvqxX8mqtUc_50,playing table tennis
Tr7PDdzq40o_180,playing harpsichord
_F44HNywbIQ_290,francolin calling
ABH4iCT5Iik_30,singing choir
yOP7z54BXYo_30,playing harpsichord
YvxuyNi_wJM_1,volcano explosion
j-wEtmNLMgM_62,cricket chirping
gy0qpNaxPm0_2,canary calling
YweMTt5aAVY_70,splashing water
UEbdKNPT96M_30,cat purring
kb0m_n54vcY_172,playing volleyball
g3J2VYx8zYE_60,train whistling
K2h6UiZSoZ4_30,people shuffling
_yL7bluGUFI_14,people cheering
-jZENGDFArw_80,"child speech, kid speaking"
_Zh3mvd4Ci8_50,alarm clock ringing
HQfF_JXrUUI_30,sliding door
C2rJ-VJLcdk_330,hair dryer drying
qsupx-IXOzU_470,playing saxophone
YVJWw5RxUeM_2,people giggling
RGB0pMtcGhc_90,playing saxophone
1q8kkQhS97g_140,playing cymbal
KRxX4rRL1Qs_3,hail
myOH_8igzTw_161,playing djembe
6ayVxYbKBe0_30,playing bass guitar
usctvE5w39M_328,cell phone buzzing
EzHAfVNaf1o_52,arc welding
AL-dutJvx0s_30,typing on computer keyboard
14lBeX_dOHU_234,canary calling
ebvV-vMMmpg_38,pheasant crowing
4WH0ZxvF9Nw_16,otter growling
tmkOomSM_So_80,"cattle, bovinae cowbell"
4N_Bj_RK8Cw_30,horse neighing
ciVsS-oZEPc_144,elephant trumpeting
MwW0f2xh-fE_0,bowling impact
gv16SOIvEnk_21,mosquito buzzing
XWAiWgDsWlg_50,playing trombone
NqecEAJGCLA_10,chipmunk chirping
AzY_KZTSXJk_30,playing harmonica
Wr44Q8MQHL0_30,helicopter
AFACjpDiMSQ_62,chipmunk chirping
aFKE_xiCSLY_99,playing bassoon
8sDQkl2g4AA_30,"bird chirping, tweeting"
0Jq6WJLLSIk_4,pig oinking
p8LUWM9izRw_30,car engine knocking
Fum4pvH1Bf0_476,roller coaster running
XLv-1DYujvo_100,playing tabla
EUy-RsUXJ00_30,owl hooting
OhmcZInYYwE_173,playing tambourine
-JJmkQYZA-4_20,chicken crowing
VkOuafNpSUA_197,playing darts
uOpAbMljiA0_42,roller coaster running
Bhsh62xI1Yg_109,ferret dooking
WvDhN-ImtA4_30,"pigeon, dove cooing"
v41-hFzfeRs_9,wood thrush calling
LIluVun_dJk_30,turkey gobbling
jna6r3skNeg_180,"pigeon, dove cooing"
deSs0MV_mJw_60,train whistling
-A1o1Egi20c_60,church bell ringing
enUxQ7b3PpM_35,playing djembe
NcPJaZwMrG8_200,bird wings flapping
5VCZHHd4UKI_111,cheetah chirrup
PUcsQijslE4_80,"railroad car, train wagon"
flBqK-cHE7w_30,horse neighing
kAHzcdl4qXY_601,playing volleyball
n8CFjM_yauA_430,people whistling
f5RrGFBbbSY_20,chicken clucking
ol06eXPnh2Q_25,air conditioning noise
Jogry7CVLzA_7,people sneezing
Ik2nR__c03E_30,dog howling
pmdoDcNBt0E_30,female singing
0Z760XNy4VM_30,mouse squeaking
AEwl00_Vv9s_52,gibbon howling
VkcsBNzy1UA_91,yodelling
WLmYzJjwWr0_26,airplane
-nJbGyPg6BY_60,people clapping
Vo_BuHqpf40_77,metronome
0QYedLfOwcI_40,people farting
WjPOAxomn7c_623,popping popcorn
YEmbpZxiZPw_62,playing tympani
tu3g4ZBt3o0_30,typing on typewriter
gZbqznxxrbE_367,airplane
tRYgfHwu-_U_19,snake rattling
oWYHKdf6N0E_10,frog croaking
2BbBEozEiak_133,mouse clicking
hm4pu5tkD0U_154,playing table tennis
CkR2jl_LI3w_30,horse clip-clop
SL90sfXc-jQ_42,people booing
ZJHlHb-VyDc_30,playing sitar
8Nrp4jUZeGE_270,playing vibraphone
O-AHz1rgAi0_50,otter growling
BUSFTmkQTvw_30,people whispering
Nht8x-egV7Y_15,chinchilla barking
xB7R8Uu94pI_30,pig oinking
Kp3BH28CB0U_164,playing congas
1_yyvTRVoZQ_209,"alligators, crocodiles hissing"
kxTwZeZxuvo_99,"fly, housefly buzzing"
IEjaZmXmm4c_20,telephone bell ringing
nXtEwct1VUE_22,people cheering
TxXjcJo7Q2I_531,turkey gobbling
F-p8xsDSjnw_30,lions roaring
Mnk6590abfY_30,playing steelpan
4P5Z2aU9SQw_98,playing table tennis
EHMsqbesAIE_19,hail
9uwWavcx0E4_0,bowling impact
KHVZFbmt8xk_30,"female speech, woman speaking"
x0-ldlMh_TE_24,playing tambourine
BIn8CogzivA_20,playing trombone
HajY_r6RNy0_90,playing accordion
A6_Rikjub4o_32,people battle cry
4ZSad2HmTJE_30,singing choir
dW-rmWpBj88_520,people shuffling
Bf3aAtNK8Sk_30,goat bleating
idUZsNLnyDg_30,tapping guitar
DitJemO43co_14,"ice cream truck, ice cream van"
Fe2qg0G74do_268,train horning
N3B-vKpsKoE_125,cow lowing
s4BRktytaS4_18,playing tennis
gseikrqMhAY_29,owl hooting
blRJgHaFyNM_24,chipmunk chirping
bQABY9H1h1Y_280,cricket chirping
IjvJou8tIXU_30,playing harmonica
icKojlQtWv0_400,ocean burbling
xiTI9orA7SA_21,playing timbales
ZAIiPe5aFao_127,woodpecker pecking tree
ZcZYEojbaPo_30,people belly laughing
R9MmLB_WMzk_560,bird wings flapping
doFrrF9ybU8_240,hair dryer drying
y4T4YGZKamk_240,telephone bell ringing
312ti9EH4uY_450,sea waves
6vl7eSBL-ag_90,church bell ringing
v0a6jM7PALg_307,dog baying
Wnb0UUbSB1w_29,car engine starting
v-aKDRpILOE_470,playing castanets
P79MiEXW6Ns_41,lions growling
HCVBXcpBIU0_199,playing lacrosse
SL52ykhLo8A_70,playing piano
SmSOJiVYvv8_247,electric grinder grinding
xmN86_ght1M_30,people finger snapping
J4IWp4vNFnw_100,slot machine
wy5edFMFcyM_370,splashing water
3cmhZ992twY_813,arc welding
LdljbBlb1Vs_10,people sniggering
q_Sx6S-MQec_64,francolin calling
P5KM4kNgvr8_39,yodelling
NyQLtzRw9-0_46,air conditioning noise
EJPTTiY0zxI_308,opening or closing car electric windows
o9C7LfMo4zo_0,people cheering
jIZvq9sRKvo_41,sailing
jqqjc0XrU58_92,playing djembe
EBEXWRdUZB8_24,playing double bass
TPtB2NqlAlc_125,bouncing on trampoline
1hba9jmspEQ_30,"female speech, woman speaking"
I1xnDP0v7Bs_167,parrot talking
_2inBMAc3q0_10,firing muskets
dEKMvDkP41A_15,volcano explosion
3S-yoXKDvE4_25,barn swallow calling
lwWitgspvqo_51,strike lighter
H_DwA0vzKXI_260,mosquito buzzing
Q6nMNWRvWfM_40,playing tabla
RmdvTlx9C0k_30,people shuffling
XLWzKHJDG-w_30,sliding door
EkNx30baO0I_111,striking pool
mjLyKhmOGYo_178,playing tambourine
KKYr8I5AxoQ_6,sea waves
hKcSZfv9gms_1,playing trumpet
a1jhkc-XInY_21,opening or closing car doors
BWnhWNwnshk_148,cupboard opening or closing
RMX2aviLZdo_70,using sewing machines
_IRW0owPIOA_30,firing cannon
HwaeZS9P6GI_180,"rowboat, canoe, kayak rowing"
uouMndiZtDc_120,people sobbing
Cfs7cp5r38U_67,volcano explosion
dweVBqei9LA_160,vacuum cleaner cleaning floors
res8Qtx-MHE_20,lawn mowing
78J9QqSBsN4_30,train wheels squealing
N0jVgldCwAk_0,"bird chirping, tweeting"
N9hbVla0XmE_87,playing bass drum
AC4ITIdiccw_30,playing clarinet
GdFlyobMoAE_9,playing bongo
B9wRwZkoFvY_38,telephone bell ringing
G5LqrMcq1QE_280,playing trombone
GQvle2TmUtw_10,cattle mooing
KlTTpDOhFUg_63,"race car, auto racing"
M9r2bFnSN1w_433,forging swords
LWKaNv6asYM_264,cell phone buzzing
UoelVWyciuE_10,cat purring
n6OjK7igcg0_51,playing darts
Uvn7waPvseo_30,typing on computer keyboard
eSSs8vV3VNc_491,forging swords
JZnOGRCBW0I_30,playing electric guitar
ff21Bursam0_160,cattle mooing
D9qpDjafWRM_30,playing flute
fhAAzi6MSXw_70,cat caterwauling
DGBtx9IyqcU_410,playing clarinet
l7oD9WX-1CU_10,people sobbing
XeG88v5JZyo_190,people belly laughing
LrcvUfmRN8k_30,"female speech, woman speaking"
1z96Z0DSNlM_4,people nose blowing
a6Hb-Vr4ksE_170,"playing marimba, xylophone"
ENr5NQ-Q5aM_0,fire crackling
NAiOfUtiXeM_30,"railroad car, train wagon"
xXGIKM4daMU_30,driving motorcycle
kGwrxzwJdRA_30,people babbling
fQRh2QW5RX8_30,"bird chirping, tweeting"
StFCmHcBNko_120,playing lacrosse
fiAJqNva0oA_30,playing clarinet
r6GfMVw52ak_190,train horning
8Hye31i3cUI_92,"alligators, crocodiles hissing"
CZlQbIE6FXQ_50,wind noise
vsCHW_rvUx0_198,plastic bottle crushing
55L7peYRB_Q_120,using sewing machines
4ewhrrQCJic_120,cap gun shooting
eb-6-U_Gm-8_33,elk bugling
6Y8bKS6KLeE_30,reversing beeps
vn_LymlQAnc_440,cap gun shooting
0CTgEP0SIVg_10,"bird chirping, tweeting"
-1BtY81-D54_130,people battle cry
Xn0GIKVyMw4_209,metronome
hT2FAykn0Ao_35,gibbon howling
uercY3R8Tjc_361,people eating apple
VE7k_K9kpsw_96,bouncing on trampoline
lXUcalwkWCo_70,chainsawing trees
hOua7RdPg38_90,baby laughter
ck13el7VmW8_9,sea waves
-Ii-kc3ufho_106,police radio chatter
ZBqMDXvp9Ak_96,playing volleyball
mEL68q2FRBo_100,child singing
nRZ4Vi-4qMQ_0,"vehicle horn, car horn, honking"
PQKLMe0XmXE_69,warbler chirping
qfClIKHj7wc_20,cat meowing
sEEP6BHe7ko_180,playing cymbal
IJ0jeaVklt8_16,playing snare drum
cRmK3sTf-Ow_65,cheetah chirrup
9omaijBLqrg_60,playing guiro
a4McboobFR8_475,police radio chatter
Bg2XkNb5LZE_140,playing french horn
HYojEoDJiQc_49,hammering nails
dMzQiu2mUlE_30,playing bagpipes
pwV5A_VVYmU_10,playing cymbal
hQqM8iNebYw_70,playing hammond organ
AuvFmMpgj70_30,playing didgeridoo
-s5ZidRvnjQ_250,singing bowl
ph0-RkqW1vM_0,playing piano
pEDafzZbNwE_30,firing cannon
6Yarp6ThoIc_290,playing accordion
LMv4Vt9otVg_30,playing hammond organ
LzZ_nxuZ8Co_30,driving buses
cdhpPQr5xnU_17,turkey gobbling
33xJ9m4Rks8_1,ferret dooking
V2znI68sdJQ_30,typing on computer keyboard
6q3OUady18I_667,swimming
f9gjQDw0I5Q_419,playing castanets
JVZkqaHmc9Q_50,playing accordion
9R4qwSl7u2A_480,turkey gobbling
2vzUFWykARU_20,toilet flushing
pcGbob7fSgE_40,people marching
tgRjq29TIJo_10,baby crying
8UgHOeB_mUE_399,people slurping
rMwYBw7zMmY_73,mynah bird singing
TSpGd9p17n0_202,elk bugling
0RMYLychMXc_0,baby babbling
QrUXDAhP3Fg_30,firing cannon
TwbVQetLqfM_3,otter growling
SGnZxcS7VKA_10,playing trumpet
3D-h4i1AJok_4,bathroom ventilation fan running
0J_TdiZ3TKA_30,male singing
dGLGY5zeLSM_30,pig oinking
BWnhWNwnshk_15,cupboard opening or closing
AzcRIvaea7o_30,waterfall burbling
1e0_4dwF9A4_30,goose honking
4UnUrylORBM_19,horse neighing
edKvAj0fYxQ_30,playing acoustic guitar
xqWpfNB7AzE_110,people belly laughing
6NIJWtJOpXM_18,running electric fan
4G92jhdrbhs_30,"engine accelerating, revving, vroom"
qPsoKSYzuyo_10,splashing water
gmy8czZ3uLc_30,car passing by
mMf4vJFT8Fw_30,playing bass guitar
VWA6xncGMFQ_7,people eating apple
_DmA5okgdeQ_4,dog baying
qVvAWkoLOz0_108,playing snare drum
MHfusgSoXiw_10,playing timpani
GoKGgq7BoVM_10,lighting firecrackers
tQamQOhxjwY_225,planing timber
JhJGVXEk9fw_136,planing timber
kEnOc-apG_o_78,beat boxing
KM-k9Ozvuec_291,people eating apple
WVfrcJWnOXs_30,people sniggering
Frgvl2G8pas_350,opening or closing drawers
cIDiFidOMvA_32,air horn
84TRQfpd8n0_52,air conditioning noise
gVDOQ2ke0bQ_174,barn swallow calling
GWvFDXjp9lU_140,"bee, wasp, etc. buzzing"
WF7ugi9ipYw_120,"subway, metro, underground"
ddAkcDFK2mg_45,playing volleyball
MAqLrKdONiM_30,playing french horn
QmENgS2Fk88_23,mynah bird singing
CZZNrpHh3UM_0,people sneezing
WDI5peW22Jc_21,cattle mooing
qJEmruL7fzk_30,people eating
MCa8xcBlBe8_30,fireworks banging
Ftap_CMYlfc_327,playing oboe
6qe-RzVvfyU_260,hair dryer drying
mZ_z2lorJeY_70,"male speech, man speaking"
0n56ajMNoMA_118,driving snowmobile
Ar0qgvu2BY8_80,people crowd
guGNQyMTm8Y_101,playing castanets
o0auMW1-gjE_458,people slurping
0izHOfrwPn4_180,duck quacking
fgbeeAqRWsc_30,people eating
l5l0Awx8eeQ_23,parrot talking
WWkwE6vhGwY_30,"playing steel guitar, slide guitar"
JDrpFuzeeX4_12,beat boxing
PHrIb6nPmN8_223,striking pool
72b5UupN-Nw_150,"female speech, woman speaking"
oMFZJxn9Yog_102,people slapping
KumYcZVLOVU_210,"railroad car, train wagon"
BoFlhQi81aQ_89,dog growling
lNG8l7BtwQo_0,skateboarding
R449t87u6V0_384,playing steelpan
X_H5Po34RuQ_280,chicken clucking
1-feQHDL-Qo_30,waterfall burbling
j7Vej9AOKY0_31,elephant trumpeting
-S-TDT5oq0Q_290,cattle mooing
BeZqhYLzRg4_181,running electric fan
X1FfFZwJI4g_120,playing cymbal
tFLGKmOa0dc_30,cattle mooing
9tDqkjQLtNM_96,train wheels squealing
Hg9thtsQwCQ_0,chopping wood
1yxij2nsbZw_0,air conditioning noise
YZRQU3bsHko_4,opening or closing car doors
Gp43FlJ2ykQ_30,playing synthesizer
63Qy15I3QGE_30,cat purring
9q3JJ7Fhvbs_70,playing electronic organ
LrUjrgxe0X0_30,playing piano
PeWX2XHqnTw_43,playing double bass
RS43EP1EXz4_30,playing ukulele
Tk0Sl9H0CE0_324,cutting hair with electric trimmers
Q6rij_svhuc_30,typing on computer keyboard
WUZOa6rFj6s_30,playing french horn
mFD6P7We2ww_81,telephone bell ringing
4QmXsg-lZQw_165,car engine idling
AWdrtR8qXYs_260,orchestra
11KWMKfalJo_40,people running
ysNo8BAeNoE_37,ferret dooking
Nz4iLzJBTBo_300,church bell ringing
CScQCxNACyc_130,chicken crowing
TnI1JdrjyS0_209,bathroom ventilation fan running
7E0I8_VuI7w_6,people slurping
BqCBBcWN9bw_23,people battle cry
sKQ6qt6uT18_27,playing djembe
AiHq9qStg00_42,people marching
8Nu6Tfgw-Dg_368,footsteps on snow
2_SKjq21NTI_0,playing clarinet
6agTJDB5lno_20,wind noise
2U5f3uTl7qg_167,playing tambourine
hNSQ9XuhiFA_6,chimpanzee pant-hooting
r93h4dD3XRU_20,civil defense siren
rLDm254jtZA_21,playing tennis
G6sxdejGOqw_100,eating with cutlery
vr18I1PCECg_0,playing french horn
PZiPN1nOwbE_30,playing trombone
UJAk1nNdo1I_30,male singing
p2wc5-uMbWw_30,"playing violin, fiddle"
3T7FYQRx0YM_33,"donkey, ass braying"
AsghD21CFr4_30,lawn mowing
InrS4Fdndr4_0,fire truck siren
6taAP7SFewI_30,car engine knocking
AKdT8WAIGmk_30,basketball bounce
7-htobm4qu0_30,dog bow-wow
oAjBZqhxuOs_100,dog growling
968-Xp6L-to_83,playing castanets
fLPEAElOWho_137,playing bass drum
h3P2Si6bC6Y_560,wind noise
MV1qOqhaLXk_16,playing table tennis
3GtvLj8K1F4_140,playing harmonica
nvIIa2B7P_0_440,"bee, wasp, etc. buzzing"
Sqpkv9fnxqw_210,ambulance siren
sAMjMyCdGOc_30,driving motorcycle
qwoyjr7tSBA_531,male singing
xvM2s-tXEZY_134,bowling impact
xB2jrWz3N8E_42,playing djembe
OHZIUdHm6b4_78,people marching
WdFo-w5z_gY_370,playing vibraphone
ezUkPETm6cs_30,driving motorcycle
D6shA0yJ8W4_72,"fly, housefly buzzing"
JANYxVn0O-M_30,stream burbling
QoffZQFqxkQ_3,"ice cream truck, ice cream van"
rysEBq2ZeP4_7,cat growling
utfkGocmCiE_241,child singing
q4zfKwfah_8_0,lions growling
MZTcAV-VIvs_10,playing saxophone
DwbUT8dyp2Y_85,rope skipping
N7Ujd7RDg9g_43,cat caterwauling
gcyPMu7k1LM_184,playing timbales
5l-SoHOFw_c_30,"rowboat, canoe, kayak rowing"
kC34iOvwo40_293,playing tympani
dyz5v3kxF3Y_1,mosquito buzzing
vM8jzj2bAG0_210,wind rustling leaves
Xv0wc_vg8w8_22,people whistling
2gvw16YDwMA_153,cat caterwauling
ZzCD1btq3D4_60,striking bowling
MbtkL5_f6-4_0,playing cello
31uVf6wvCTA_208,people battle cry
hl9AzFQ4Hus_21,ocean burbling
K6AMkKsPams_30,orchestra
0s62qg0kfJE_13,warbler chirping
Ewf64nhden0_12,firing muskets
Qdr2xmK84Jo_30,"pigeon, dove cooing"
O4xrL3f3z4M_17,car engine idling
rhWrIKdn8ic_116,people whispering
10aBef0Ghkc_40,playing piano
UBzbRcWlsKI_747,cow lowing
SKK-sj5krTc_73,people booing
Qbo3Xrn8Ezk_23,eagle screaming
7Un6ZHba2Wk_134,people humming
rRVTA8SlJvM_233,lathe spinning
y7BjYF0OAv0_237,airplane
2BMOGrFU_m8_167,"fly, housefly buzzing"
5d8P-k6MNIQ_120,playing harp
zgR4fR2nPvM_139,tractor digging
KXn7InqM3yo_30,people crowd
i_G-KciH8XM_28,sea waves
WDoZneKkmVg_30,people sniggering
4qLAn6_xfCY_430,fireworks banging
rd4AgYS_oJE_348,cat hissing
gX-HTzpXCkU_178,chopping wood
nMUUYby3ZQQ_64,airplane flyby
PJnn-wMPU9w_40,mouse pattering
VrljAMqy9dA_420,playing saxophone
dzw5qQo-i4Y_0,pumping water
_gY3Z2pWGsA_150,people farting
YSKv2zqj4VI_30,mosquito buzzing
Sb5nf9DkzTs_50,baby laughter
-T2MO0xBNwM_26,"motorboat, speedboat acceleration"
uRhiZy8FsSU_30,female singing
04QV0Xi5YTk_30,playing zither
mCDlfWV3vzY_240,playing timpani
nou1eQNbW30_2,parrot talking
hC7sSMWLwDo_16,baby crying
DFf71XYDX3g_16,chipmunk chirping
pYJbZ9c-_pE_117,pheasant crowing
qfwEfapK0go_38,elk bugling
N0uNunAKh7w_251,playing bongo
1qRi4bT_t3Q_398,opening or closing car doors
aO5LRQS08E4_87,smoke detector beeping
R5HBBqLJsCk_247,squishing water
5jpljP-cYyA_410,"subway, metro, underground"
fdOYVf1E8O4_5,playing tennis
jr2kxASSRBY_30,baby crying
DWk_7rw81D0_15,cutting hair with electric trimmers
cpLm-Yaay2k_18,"donkey, ass braying"
sosmMya-v6k_782,people cheering
OZjpYGdvMX0_30,playing electric guitar
5wUybpSvP-U_343,people battle cry
qHDSQ2RC-sQ_30,singing bowl
9zW-E0XdWdw_160,female singing
ktis2aZfphM_10,playing cello
ljQ1uYYhtxM_164,telephone bell ringing
Wy66AKdsN74_742,squishing water
0foC-4n-eH0_0,sliding door
b71sYw2hZB0_30,playing bugle
upX4cNt_Reo_10,cat purring
ZFs03gCSB_g_270,typing on computer keyboard
eIxOyj3LfJM_7,police car (siren)
5B4fi1TAgvw_193,extending ladders
njPYTlo0oAc_10,playing trombone
